"parameter","est","se","ci_lower","ci_upper","sig"
"a1",0.309580477669582,0.0381634593504081,0.233083549446731,0.383215290329463,TRUE
"a1z",0.172729772950356,0.0171062342638671,0.141896353942553,0.207074681189426,TRUE
"a2",-0.128341342981743,0.0461541463884074,-0.220623865244921,-0.0401964457043425,TRUE
"a2z",-0.266876284509908,0.0209768037356983,-0.306162287195176,-0.223278455204488,TRUE
"b1",-0.145634767140893,0.0126899969337355,-0.171385485780252,-0.12097477235682,TRUE
"b2",0.104034836069778,0.0101405482317353,0.0854847728436948,0.124586651681445,TRUE
"c",-0.00755988004547891,0.0137952817043283,-0.0349096044912381,0.0193232044867727,FALSE
"cz",0.0245731179431487,0.00858981282560783,0.00780507952261703,0.041431696986366,TRUE
"a1_z_low",0.141248750198087,0.0479969984675272,0.0464635715863527,0.233598511217825,TRUE
"a1_z_mid",0.309580477669582,0.0381634593504081,0.233083549446731,0.383215290329463,TRUE
"a1_z_high",0.477912205141076,0.0341322461758363,0.409728188400075,0.546735191759862,TRUE
"a2_z_low",0.131739737571974,0.0590788470411899,0.0137992198822645,0.242854435248373,TRUE
"a2_z_mid",-0.128341342981743,0.0461541463884074,-0.220623865244921,-0.0401964457043425,TRUE
"a2_z_high",-0.38842242353546,0.0400737773579751,-0.467751390932028,-0.311799528383598,TRUE
"dir_z_low",-0.0315073172595592,0.0186552571151863,-0.0677967887295261,0.00451924027003187,FALSE
"dir_z_mid",-0.00755988004547891,0.0137952817043283,-0.0349096044912381,0.0193232044867727,FALSE
"dir_z_high",0.0163875571686013,0.0131434993015018,-0.00957708378744184,0.0426012035049416,FALSE
"ind_EmoDiss_z_low",-0.0205707288440407,0.00727938947784864,-0.0350816519432157,-0.00661926967521042,TRUE
"ind_EmoDiss_z_mid",-0.045085680776776,0.00674568386839851,-0.0590632617476595,-0.0321649577636872,TRUE
"ind_EmoDiss_z_high",-0.0696006327095114,0.00748811019799999,-0.0847725613596256,-0.0554561065540603,TRUE
"ind_QualEngag_z_low",0.0137055220021759,0.00624690808273368,0.00144866406329347,0.0257165696440019,TRUE
"ind_QualEngag_z_mid",-0.0133519705780808,0.00506099666108707,-0.0242914631479612,-0.00399224913872783,TRUE
"ind_QualEngag_z_high",-0.0404094631583376,0.0056847782907447,-0.0523366208798564,-0.0301131784954002,TRUE
"total_z_low",-0.0383725241014239,0.0202127194019825,-0.0788115423893753,0.000528070419801916,FALSE
"total_z_mid",-0.0659975314003358,0.0150930488018194,-0.0970940861447967,-0.0366379782355206,TRUE
"total_z_high",-0.0936225386992477,0.013367560140054,-0.120050673767945,-0.0678683102462621,TRUE
"index_MM_EmoDiss",-0.0251554602619245,0.00308289373477325,-0.0317506469178168,-0.0198626870776498,TRUE
"index_MM_QualEngag",-0.0277644305098998,0.00325406861694696,-0.0342460595541881,-0.0218422803871617,TRUE
