"Item_Factor","lambda","SE","omega","AVE"
"EmoDiss",NA,NA,NA,NA
"  MHWdacad",0.546,0.021,NA,NA
"  MHWdlonely",0.497,0.021,NA,NA
"  MHWdmental",0.633,0.02,NA,NA
"  MHWdexhaust",0.587,0.021,NA,NA
"  MHWdsleep",0.565,0.021,NA,NA
"  MHWdfinancial",0.581,0.021,NA,NA
"  Factor reliability",NA,NA,0.741,0.324
"QualEngag",NA,NA,NA,NA
"  QIadmin",0.725,0.018,NA,NA
"  QIstudent",0.689,0.016,NA,NA
"  QIadvisor",0.708,0.017,NA,NA
"  QIfaculty",0.701,0.017,NA,NA
"  QIstaff",0.684,0.017,NA,NA
"  Factor reliability",NA,NA,0.829,0.492
"Belong",NA,NA,NA,NA
"  sbvalued",0.714,0.011,NA,NA
"  sbmyself",0.696,0.01,NA,NA
"  sbcommunity",0.729,0.011,NA,NA
"  Factor reliability",NA,NA,0.756,0.508
"Gains",NA,NA,NA,NA
"  pganalyze",0.611,0.009,NA,NA
"  pgthink",0.488,0.008,NA,NA
"  pgwork",0.497,0.008,NA,NA
"  pgvalues",0.535,0.009,NA,NA
"  pgprobsolve",0.6,0.009,NA,NA
"  Factor reliability",NA,NA,0.681,0.301
"SupportEnv",NA,NA,NA,NA
"  SEacademic",0.551,0.008,NA,NA
"  SEwellness",0.604,0.008,NA,NA
"  SEnonacad",0.621,0.009,NA,NA
"  SEactivities",0.667,0.009,NA,NA
"  SEdiverse",0.559,0.008,NA,NA
"  Factor reliability",NA,NA,0.739,0.362
"Satisf",NA,NA,NA,NA
"  sameinst",0.688,0.012,NA,NA
"  evalexp",0.744,0.014,NA,NA
"  Factor reliability",NA,NA,0.678,0.514
"DevAdj",NA,NA,NA,NA
"  Belong",0.552,0.032,NA,NA
"  Gains",0.527,0.033,NA,NA
"  SupportEnv",0.361,0.025,NA,NA
"  Satisf",0.562,0.037,NA,NA
"  Factor reliability",NA,NA,0.574,0.257
